ID,Title,Phase,Type,Priority,Estimate,Status,Owners,Dependencies,Target Sprint Window,Rollout Flag,Labels,Summary,Implementation Checklist,Acceptance Criteria
P1-011,Override Taxonomy and Storage,Phase 1,Backend,P0,M,Backlog,"backend;platform",P1-009,Sprint 3,override_expansion,"backend;platform;phase-1","Expand override storage beyond score-only correction.","Define override types | Support score evidence relevance and recommendation usefulness | Store override target and rationale | Preserve compatibility with existing admin override flow","Override records are structured and queryable | Existing score override behavior continues to work"
P1-012,Override UI Expansion,Phase 1,Feature,P0,M,Backlog,"frontend;ux",P1-011,Sprint 3,override_expansion,"frontend;ux;phase-1","Expose broader correction controls to reviewers without making the UI heavy.","Preserve score override UI | Add recommendation usefulness correction flow | Add evidence relevance correction where practical | Surface override history","Reviewers can override at least score and recommendation usefulness | Override interactions remain understandable and lightweight"
P1-013,Focus Context UI Visibility,Phase 1,Feature,P0,S,Backlog,"frontend;ux",,Sprint 3,focus_context_visibility,"frontend;ux;phase-1","Make selected focus notes and priority elements visible in review flows.","Surface focus note and priority elements in relevant pages | Show how focus is applied in review and coaching contexts","Users can see what observation focus was active | Focus settings are visible without extra digging"
P1-014,Focus-Aware Prompt and Synthesis Refinement,Phase 1,AI,P0,M,Backlog,"ai;backend",,Sprint 3,focus_aware_analysis_v2,"ai;backend;phase-1","Improve how focus notes and priority elements affect summaries and recommendations.","Refine prompt instructions | Tune summary generation logic | Tune recommendation generation logic | Validate against sample outputs","Prioritized elements materially affect output | Focus notes do not create generic or repetitive text"
P1-015,Evaluation Harness Foundation,Phase 1,Platform,P0,L,Ready,"ai;platform",,Sprint 4,,"ai;platform;phase-1","Build a repeatable internal evaluation loop for analysis quality.","Define initial gold-set recordings | Define evaluation criteria | Add scripts or tests for repeatable scoring | Document evaluation process","Analysis changes can be compared against a stable baseline | Team can review output quality before rollout"
P1-016,Moment Ranking Refinement,Phase 1,AI,P0,L,Backlog,"ai;backend",P1-015,Sprint 4,moment_ranking_v2,"ai;backend;phase-1","Improve ranking of useful video moments for coaching and review.","Refine ranking logic | Test against evaluation set | Compare ranked moments before and after","Ranked moments are more useful to reviewers | Low-value moments are reduced"
P1-017,Coaching Packet Quality Pass,Phase 1,AI,P0,L,Backlog,"ai;backend",P1-015,Sprint 4,coaching_packet_v2,"ai;backend;phase-1","Improve specificity and usefulness of summaries and coaching actions.","Refine summary packet generation | Improve action language | Strengthen evidence-to-action linkage | Test with evaluation harness","Recommendations are less generic | Action items feel grounded in evidence"
P1-018,Teacher Profile Coaching Workspace UX,Phase 1,Feature,P0,L,Backlog,"frontend;ux",,Sprint 3-4,teacher_profile_coaching_v2,"frontend;ux;phase-1","Make the teacher profile feel like a coaching workspace rather than a report dump.","Rework action plan layout | Clarify next-step area | Improve reflection section usability | Improve scheduling visibility","Coach can move from evidence to next action naturally | Profile hierarchy feels coaching-centered"
P1-019,Coaching Workflow Backend Support,Phase 1,Backend,P0,M,Backlog,backend,P1-018,Sprint 4,teacher_profile_coaching_v2,"backend;phase-1","Support smoother observation-to-action and conference flows on the backend.","Tighten action-plan persistence | Improve schedule semantics for coaching conferences | Expose cleaner follow-up data for profile views","Action plan and conference state persist reliably | Profile can retrieve follow-up data cleanly"
P1-020,Lightweight Training Mode Foundation,Phase 1,Feature,P1,M,Backlog,"frontend;ux","P1-001;P1-018",Sprint 5,training_mode_foundation,"frontend;ux;phase-1","Begin supporting teacher-training workflows without splitting the product.","Adjust dashboard and roster language for training context | Add cohort-oriented filter presets | Reduce principal-only bias in key copy","Trainer workflows feel intentionally supported | No separate app or route tree is introduced"
P1-021,Service Boundary Cleanup For Feedback Features,Phase 1,Platform,P1,M,Backlog,"backend;platform","P1-009;P1-011",Sprint 4-5,,"backend;platform;phase-1","Keep new feedback and override work from deepening legacy coupling.","Route new endpoints through extracted services | Add repository methods | Minimize new logic inside backend/server.py","New feature logic primarily lives in modular service paths"
P1-022,Phase 1 Stabilization and Pilot Hardening,Phase 1,Hardening,P0,L,Backlog,"frontend;backend;ai;platform",All major Phase 1 tickets,Sprint 6,,"frontend;backend;ai;platform;phase-1","Stabilize and harden the product after the main Phase 1 feature work.","Run regression pass | Fix bugs | Review feature flags | Review pilot-ready documentation","No known P0 workflow breakages remain | Phase 1 features are stable enough for pilot use"
